Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count,Outlier_IQR,Z_score,Outlier_Z,Count_capped
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Asansol Durgapur,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Asansol Durgapur,Traffic Control,Others,Greviously Injured,183.0,True,0.28842824749708873,False,176.25
Asansol Durgapur,Traffic Control,Others,Minor Injury,41.0,False,-0.2275801825202362,False,41.0
Asansol Durgapur,Traffic Control,Others,Persons Killed,299.0,True,0.7099562607506782,False,176.25
Asansol Durgapur,Traffic Control,Others,Total Injured,224.0,True,0.4374165970091332,False,176.25
Asansol Durgapur,Traffic Control,Others,Total number of Accidents,401.0,True,1.0806102034391791,False,176.25
Asansol Durgapur,Traffic Control,Police Controlled,Greviously Injured,2.0,False,-0.36930080766583956,False,2.0
Asansol Durgapur,Traffic Control,Police Controlled,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Asansol Durgapur,Traffic Control,Police Controlled,Persons Killed,6.0,False,-0.35476535893295713,False,6.0
Asansol Durgapur,Traffic Control,Police Controlled,Total Injured,2.0,False,-0.36930080766583956,False,2.0
Asansol Durgapur,Traffic Control,Police Controlled,Total number of Accidents,7.0,False,-0.35113149674973654,False,7.0
Asansol Durgapur,Traffic Control,Stop Sign,Greviously Injured,1.0,False,-0.37293466984906015,False,1.0
Asansol Durgapur,Traffic Control,Stop Sign,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Asansol Durgapur,Traffic Control,Stop Sign,Persons Killed,1.0,False,-0.37293466984906015,False,1.0
Asansol Durgapur,Traffic Control,Stop Sign,Total Injured,1.0,False,-0.37293466984906015,False,1.0
Asansol Durgapur,Traffic Control,Stop Sign,Total number of Accidents,2.0,False,-0.36930080766583956,False,2.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Persons Killed,1.0,False,-0.37293466984906015,False,1.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Total number of Accidents,1.0,False,-0.37293466984906015,False,1.0
Asansol Durgapur,Traffic Control,Uncontrolled,Greviously Injured,17.0,False,-0.31479287491753055,False,17.0
Asansol Durgapur,Traffic Control,Uncontrolled,Minor Injury,2.0,False,-0.36930080766583956,False,2.0
Asansol Durgapur,Traffic Control,Uncontrolled,Persons Killed,8.0,False,-0.34749763456651594,False,8.0
Asansol Durgapur,Traffic Control,Uncontrolled,Total Injured,19.0,False,-0.30752515055108937,False,19.0
Asansol Durgapur,Traffic Control,Uncontrolled,Total number of Accidents,17.0,False,-0.31479287491753055,False,17.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Others,Greviously Injured,189.0,True,0.3102314205964123,False,176.25
Aurangabad,Traffic Control,Others,Minor Injury,69.0,False,-0.12583204139005946,False,69.0
Aurangabad,Traffic Control,Others,Persons Killed,107.0,False,0.012254721572323267,False,107.0
Aurangabad,Traffic Control,Others,Total Injured,258.0,True,0.5609679112386337,False,176.25
Aurangabad,Traffic Control,Others,Total number of Accidents,345.0,True,0.8771139211788257,False,176.25
Aurangabad,Traffic Control,Police Controlled,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Police Controlled,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Police Controlled,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Police Controlled,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Police Controlled,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Stop Sign,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Stop Sign,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Stop Sign,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Stop Sign,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Stop Sign,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Aurangabad,Traffic Control,Uncontrolled,Greviously Injured,31.0,False,-0.2639188043524422,False,31.0
Aurangabad,Traffic Control,Uncontrolled,Minor Injury,4.0,False,-0.3620330832993983,False,4.0
Aurangabad,Traffic Control,Uncontrolled,Persons Killed,29.0,False,-0.2711865287188834,False,29.0
Aurangabad,Traffic Control,Uncontrolled,Total Injured,35.0,False,-0.2493833556195598,False,35.0
Aurangabad,Traffic Control,Uncontrolled,Total number of Accidents,61.0,False,-0.15490293885582423,False,61.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Greviously Injured,33.0,False,-0.256651079986001,False,33.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Minor Injury,33.0,False,-0.256651079986001,False,33.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Persons Killed,9.0,False,-0.34386377238329535,False,9.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total Injured,66.0,False,-0.13673362793972124,False,66.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,67.0,False,-0.13309976575650065,False,67.0
Bengaluru,Traffic Control,Others,Greviously Injured,1154.0,True,3.8169084274042895,True,176.25
Bengaluru,Traffic Control,Others,Minor Injury,773.0,True,2.4324069355972417,False,176.25
Bengaluru,Traffic Control,Others,Persons Killed,536.0,True,1.5711815981739599,False,176.25
Bengaluru,Traffic Control,Others,Total Injured,1927.0,True,6.6258838950338115,True,176.25
Bengaluru,Traffic Control,Others,Total number of Accidents,2316.0,True,8.039456284306624,True,176.25
Bengaluru,Traffic Control,Police Controlled,Greviously Injured,130.0,False,0.09583355178639702,False,130.0
Bengaluru,Traffic Control,Police Controlled,Minor Injury,38.0,False,-0.23848176906989801,False,38.0
Bengaluru,Traffic Control,Police Controlled,Persons Killed,38.0,False,-0.23848176906989801,False,38.0
Bengaluru,Traffic Control,Police Controlled,Total Injured,168.0,False,0.23392031474877975,False,168.0
Bengaluru,Traffic Control,Police Controlled,Total number of Accidents,220.0,True,0.42288114827625084,False,176.25
Bengaluru,Traffic Control,Stop Sign,Greviously Injured,12.0,False,-0.3329621858336336,False,12.0
Bengaluru,Traffic Control,Stop Sign,Minor Injury,4.0,False,-0.3620330832993983,False,4.0
Bengaluru,Traffic Control,Stop Sign,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Bengaluru,Traffic Control,Stop Sign,Total Injured,16.0,False,-0.31842673710075114,False,16.0
Bengaluru,Traffic Control,Stop Sign,Total number of Accidents,16.0,False,-0.31842673710075114,False,16.0
Bengaluru,Traffic Control,Traffic Light Signal,Greviously Injured,180.0,True,0.27752666094742695,False,176.25
Bengaluru,Traffic Control,Traffic Light Signal,Minor Injury,99.0,False,-0.016816175893441518,False,99.0
Bengaluru,Traffic Control,Traffic Light Signal,Persons Killed,32.0,False,-0.2602849421692216,False,32.0
Bengaluru,Traffic Control,Traffic Light Signal,Total Injured,279.0,True,0.6372790170862662,False,176.25
Bengaluru,Traffic Control,Traffic Light Signal,Total number of Accidents,335.0,True,0.8407752993466197,False,176.25
Bengaluru,Traffic Control,Uncontrolled,Greviously Injured,198.0,True,0.3429361802453977,False,176.25
Bengaluru,Traffic Control,Uncontrolled,Minor Injury,97.0,False,-0.024083900259882714,False,97.0
Bengaluru,Traffic Control,Uncontrolled,Persons Killed,31.0,False,-0.2639188043524422,False,31.0
Bengaluru,Traffic Control,Uncontrolled,Total Injured,295.0,True,0.6954208120177957,False,176.25
Bengaluru,Traffic Control,Uncontrolled,Total number of Accidents,279.0,True,0.6372790170862662,False,176.25
Bhopal,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Minor Injury,19.0,False,-0.30752515055108937,False,19.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Persons Killed,3.0,False,-0.3656669454826189,False,3.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Total Injured,19.0,False,-0.30752515055108937,False,19.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,33.0,False,-0.256651079986001,False,33.0
Bhopal,Traffic Control,Others,Greviously Injured,71.0,False,-0.11856431702361826,False,71.0
Bhopal,Traffic Control,Others,Minor Injury,753.0,True,2.35972969193283,False,176.25
Bhopal,Traffic Control,Others,Persons Killed,135.0,False,0.11400286270250001,False,135.0
Bhopal,Traffic Control,Others,Total Injured,824.0,True,2.617733906941492,False,176.25
Bhopal,Traffic Control,Others,Total number of Accidents,1001.0,True,3.260927513371538,True,176.25
Bhopal,Traffic Control,Police Controlled,Greviously Injured,11.0,False,-0.33659604801685417,False,11.0
Bhopal,Traffic Control,Police Controlled,Minor Injury,45.0,False,-0.2130447337873538,False,45.0
Bhopal,Traffic Control,Police Controlled,Persons Killed,9.0,False,-0.34386377238329535,False,9.0
Bhopal,Traffic Control,Police Controlled,Total Injured,56.0,False,-0.17307224977192723,False,56.0
Bhopal,Traffic Control,Police Controlled,Total number of Accidents,101.0,False,-0.009548451527000323,False,101.0
Bhopal,Traffic Control,Stop Sign,Greviously Injured,30.0,False,-0.2675526665356628,False,30.0
Bhopal,Traffic Control,Stop Sign,Minor Injury,295.0,True,0.6954208120177957,False,176.25
Bhopal,Traffic Control,Stop Sign,Persons Killed,26.0,False,-0.28208811526854516,False,26.0
Bhopal,Traffic Control,Stop Sign,Total Injured,325.0,True,0.8044366775144137,False,176.25
Bhopal,Traffic Control,Stop Sign,Total number of Accidents,416.0,True,1.135118136187488,False,176.25
Bhopal,Traffic Control,Traffic Light Signal,Greviously Injured,21.0,False,-0.3002574261846482,False,21.0
Bhopal,Traffic Control,Traffic Light Signal,Minor Injury,103.0,False,-0.002280727160559126,False,103.0
Bhopal,Traffic Control,Traffic Light Signal,Persons Killed,18.0,False,-0.31115901273430996,False,18.0
Bhopal,Traffic Control,Traffic Light Signal,Total Injured,124.0,False,0.07403037868707343,False,124.0
Bhopal,Traffic Control,Traffic Light Signal,Total number of Accidents,181.0,True,0.28116052313064754,False,176.25
Bhopal,Traffic Control,Uncontrolled,Greviously Injured,53.0,False,-0.18397383632158903,False,53.0
Bhopal,Traffic Control,Uncontrolled,Minor Injury,406.0,True,1.098779514355282,False,176.25
Bhopal,Traffic Control,Uncontrolled,Persons Killed,46.0,False,-0.20941087160413321,False,46.0
Bhopal,Traffic Control,Uncontrolled,Total Injured,459.0,True,1.2913742100659737,False,176.25
Bhopal,Traffic Control,Uncontrolled,Total number of Accidents,563.0,True,1.669295877120916,False,176.25
Chandigarh,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0,False,-0.3620330832993983,False,4.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Minor Injury,15.0,False,-0.32206059928397174,False,15.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Persons Killed,5.0,False,-0.3583992211161777,False,5.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Total Injured,19.0,False,-0.30752515055108937,False,19.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,15.0,False,-0.32206059928397174,False,15.0
Chandigarh,Traffic Control,Others,Greviously Injured,8.0,False,-0.34749763456651594,False,8.0
Chandigarh,Traffic Control,Others,Minor Injury,61.0,False,-0.15490293885582423,False,61.0
Chandigarh,Traffic Control,Others,Persons Killed,25.0,False,-0.28572197745176575,False,25.0
Chandigarh,Traffic Control,Others,Total Injured,69.0,False,-0.12583204139005946,False,69.0
Chandigarh,Traffic Control,Others,Total number of Accidents,77.0,False,-0.09676114392429468,False,77.0
Chandigarh,Traffic Control,Police Controlled,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Police Controlled,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Police Controlled,Persons Killed,1.0,False,-0.37293466984906015,False,1.0
Chandigarh,Traffic Control,Police Controlled,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Police Controlled,Total number of Accidents,1.0,False,-0.37293466984906015,False,1.0
Chandigarh,Traffic Control,Stop Sign,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Stop Sign,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Stop Sign,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Stop Sign,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Stop Sign,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Traffic Light Signal,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Chandigarh,Traffic Control,Traffic Light Signal,Minor Injury,43.0,False,-0.22031245815379502,False,43.0
Chandigarh,Traffic Control,Traffic Light Signal,Persons Killed,17.0,False,-0.31479287491753055,False,17.0
Chandigarh,Traffic Control,Traffic Light Signal,Total Injured,43.0,False,-0.22031245815379502,False,43.0
Chandigarh,Traffic Control,Traffic Light Signal,Total number of Accidents,49.0,False,-0.19850928505447143,False,49.0
Chandigarh,Traffic Control,Uncontrolled,Greviously Injured,2.0,False,-0.36930080766583956,False,2.0
Chandigarh,Traffic Control,Uncontrolled,Minor Injury,15.0,False,-0.32206059928397174,False,15.0
